id	maxlv	min_cost	max_cost	factor_cost	min_range	max_range	factor_range	min_attack_speed	max_attack_speed	factor_attack_speed	min_damage	max_damage	factor_damage	min_hp	max_hp	factor_hp			
1	10	80	800	1	3	10	1	3	2	1	3	10	1	15	40	1			
2	10	80	800	1	3	10	1	3	2	1	3	10	1	15	40	1			
3	10	80	800	1	3	10	1	3	2	1	3	10	1	15	40	1			
4	10	80	800	1	3	10	1	3	2	1	3	10	1	15	40	1			
5	10	80	800	1	3	10	1	3	2	1	3	10	1	15	40	1			
6	15	90	1000	1	4	13	1	3	2	1	3	20	1	20	40	1			
7	15	90	1000	1	4	13	1	3	2	1	3	20	1	20	50	1			
8	15	90	1000	1	4	13	1	2.5	1.5	1	4	20	1	20	50	1			
9	15	90	1000	1	4	13	1	2.5	1.5	1	4	20	1	20	50	1			
10	15	90	1000	1	4	13	1	2.5	1.5	1	4	20	1	20	50	1			
11	15	90	1000	1	4	13	1	2.5	1.5	1	4	20	1	20	50	1			
12	20	150	1700	1	5	18	1	2	1	1	5	30	1	25	60	1			
13	20	150	1700	1	5	18	1	2	1	1	5	30	1	25	60	1			
14	20	150	1700	1	5	18	1	2	1	1	5	30	1	25	60	1			
15	20	150	1700	1	5	18	1	2	1	1	5	30	1	25	60	1			
